Zona,Código cliente,Euros 2023,Euros 2024,Euros 2025
Andalucia,10045,0.0,0.0,370.0
Andalucia,1598,9534.0,9794.0,9834.0
Andalucia,6006,14764.0,19797.0,16424.0
Baix Llobregat,10014,0.0,0.0,1144.0
Baix Llobregat,10018,0.0,0.0,0.0
Baix Llobregat,10019,0.0,0.0,0.0
Baix Llobregat,10073,0.0,0.0,0.0
Baix Llobregat,10074,0.0,0.0,0.0
Baix Llobregat,10075,0.0,0.0,90.0
Baix Llobregat,10076,0.0,0.0,0.0
Baix Llobregat,10077,0.0,0.0,386.0
Baix Llobregat,1009,10909.0,10752.0,11178.0
Baix Llobregat,10101,0.0,0.0,0.0
Baix Llobregat,10105,0.0,0.0,714.0
Baix Llobregat,10106,0.0,0.0,0.0
Baix Llobregat,10107,0.0,0.0,2385.0
Baix Llobregat,10108,0.0,0.0,0.0
Baix Llobregat,10111,0.0,0.0,268.0
Baix Llobregat,10113,0.0,0.0,0.0
Baix Llobregat,10114,0.0,0.0,0.0
Baix Llobregat,10122,0.0,0.0,580.0
Baix Llobregat,10139,0.0,0.0,75.0
Baix Llobregat,10140,0.0,0.0,0.0
Baix Llobregat,10150,0.0,0.0,106.0
Baix Llobregat,10156,0.0,0.0,0.0
Baix Llobregat,10170,0.0,0.0,96.0
Baix Llobregat,10176,0.0,0.0,220.0
Baix Llobregat,1052,364.0,1682.0,1202.0
Baix Llobregat,1308,6828.0,6325.0,8342.0
Baix Llobregat,1365,7155.0,7198.0,6635.0
Baix Llobregat,1582,2381.0,1010.0,0.0
Baix Llobregat,1808,2561.0,2188.0,1426.0
Baix Llobregat,2309,33049.0,30215.0,40945.0
Baix Llobregat,2360,3607.0,4230.0,3703.0
Baix Llobregat,2375,22146.0,22718.0,23077.0
Baix Llobregat,2524,859.0,532.0,1217.0
Baix Llobregat,2571,5607.0,5402.0,2901.0
Baix Llobregat,2575,722.0,546.0,930.0
Baix Llobregat,2728,661.0,622.0,469.0
Baix Llobregat,2944,6211.0,6074.0,6369.0
Baix Llobregat,2967,0.0,0.0,0.0
Baix Llobregat,3164,8757.0,7837.0,7909.0
Baix Llobregat,3199,9242.0,7604.0,7013.0
Baix Llobregat,3281,12478.0,12275.0,11577.0
Baix Llobregat,3387,13142.0,9558.0,4514.0
Baix Llobregat,3420,243.0,63.0,0.0
Baix Llobregat,3600,15716.0,13936.0,12697.0
Baix Llobregat,3660,280.0,265.0,185.0
Baix Llobregat,3688,1787.0,1799.0,1846.0
Baix Llobregat,3690,2276.0,2126.0,1911.0
Baix Llobregat,3739,785.0,740.0,635.0
Baix Llobregat,3777,3946.0,3038.0,2789.0
Baix Llobregat,3839,2198.0,1538.0,0.0
Baix Llobregat,3859,3259.0,2862.0,3360.0
Baix Llobregat,3909,9649.0,10094.0,8246.0
Baix Llobregat,3942,4851.0,5258.0,6628.0
Baix Llobregat,3944,3586.0,3367.0,2780.0
Baix Llobregat,4021,5919.0,5056.0,0.0
Baix Llobregat,4059,521.0,731.0,517.0
Baix Llobregat,4072,1063.0,89.0,0.0
Baix Llobregat,4076,984.0,754.0,762.0
Baix Llobregat,4115,2095.0,2091.0,1862.0
Baix Llobregat,4173,1743.0,1892.0,1716.0
Baix Llobregat,4182,1675.0,1594.0,118.0
Baix Llobregat,4193,2595.0,3072.0,3634.0
Baix Llobregat,4194,2100.0,2075.0,2093.0
Baix Llobregat,4199,4340.0,4776.0,4413.0
Baix Llobregat,4457,339.0,0.0,345.0
Baix Llobregat,4514,2252.0,1986.0,1762.0
Baix Llobregat,4564,1425.0,1149.0,1158.0
Baix Llobregat,4567,8653.0,10188.0,12741.0
Baix Llobregat,4597,11366.0,9987.0,8999.0
Baix Llobregat,4619,1517.0,1637.0,2251.0
Baix Llobregat,4691,72.0,307.0,246.0
Baix Llobregat,4698,0.0,0.0,52.0
Baix Llobregat,4711,3858.0,3083.0,3258.0
Baix Llobregat,4725,5625.0,2061.0,2815.0
Baix Llobregat,4731,2031.0,2045.0,2113.0
Baix Llobregat,4774,770.0,687.0,1209.0
Baix Llobregat,4822,0.0,0.0,0.0
Baix Llobregat,4825,1769.0,1406.0,1726.0
Baix Llobregat,4840,1308.0,1443.0,1819.0
Baix Llobregat,4878,1135.0,1544.0,1518.0
Baix Llobregat,4906,4415.0,5186.0,4542.0
Baix Llobregat,4923,3907.0,1138.0,0.0
Baix Llobregat,4990,6990.0,6286.0,4681.0
Baix Llobregat,5013,18379.0,13388.0,7509.0
Baix Llobregat,5015,4560.0,6126.0,6190.0
Baix Llobregat,5069,8590.0,2271.0,4030.0
Baix Llobregat,5134,21420.0,1346.0,0.0
Baix Llobregat,5154,1360.0,69.0,0.0
