Fecha,Código artículo,Artículo,Cantidad_Unidades,Importe_Euros,Margen Bruto Unitario,Nombre Artículo,Beneficio_Real_Euros
2023-03-01,1121,Croissant manteca ferm.85 grs.40 unds,1995,24707.0,0.775,Croissant Llard,19147.925
2023-01-01,1121,Croissant manteca ferm.85 grs.40 unds,1991,23014.0,0.775,Croissant Llard,17835.850000000002
2023-06-01,1121,Croissant manteca ferm.85 grs.40 unds,1979,24620.0,0.775,Croissant Llard,19080.5
2023-10-01,1121,Croissant manteca ferm.85 grs.40 unds,1902,23757.0,0.775,Croissant Llard,18411.675
2023-10-01,131,Croissant bombon ferm. 115 grs. 40 unds.,1814,36922.0,0.785,Croissant Bombó,28983.77
2023-05-01,1121,Croissant manteca ferm.85 grs.40 unds,1814,22643.0,0.775,Croissant Llard,17548.325
2023-09-01,1121,Croissant manteca ferm.85 grs.40 unds,1785,22364.0,0.775,Croissant Llard,17332.100000000002
2023-06-01,131,Croissant bombon ferm. 115 grs. 40 unds.,1762,36247.0,0.785,Croissant Bombó,28453.895
2023-02-01,1121,Croissant manteca ferm.85 grs.40 unds,1703,20811.0,0.775,Croissant Llard,16128.525
2023-12-01,131,Croissant bombon ferm. 115 grs. 40 unds.,1661,33426.0,0.785,Croissant Bombó,26239.41
2023-09-01,131,Croissant bombon ferm. 115 grs. 40 unds.,1652,33839.0,0.785,Croissant Bombó,26563.615
2023-07-01,1121,Croissant manteca ferm.85 grs.40 unds,1597,20979.0,0.775,Croissant Llard,16258.725
2023-03-01,131,Croissant bombon ferm. 115 grs. 40 unds.,1571,32503.0,0.785,Croissant Bombó,25514.855
2023-08-01,1121,Croissant manteca ferm.85 grs.40 unds,1554,20504.0,0.775,Croissant Llard,15890.6
2023-11-01,1121,Croissant manteca ferm.85 grs.40 unds,1554,19784.0,0.775,Croissant Llard,15332.6
2023-01-01,131,Croissant bombon ferm. 115 grs. 40 unds.,1517,29324.0,0.785,Croissant Bombó,23019.34
2023-05-01,131,Croissant bombon ferm. 115 grs. 40 unds.,1505,31574.0,0.785,Croissant Bombó,24785.59
2023-12-01,1121,Croissant manteca ferm.85 grs.40 unds,1498,18898.0,0.775,Croissant Llard,14645.95
2023-08-01,131,Croissant bombon ferm. 115 grs. 40 unds.,1416,31299.0,0.785,Croissant Bombó,24569.715
2023-02-01,131,Croissant bombon ferm. 115 grs. 40 unds.,1357,27361.0,0.785,Croissant Bombó,21478.385000000002
2023-11-01,131,Croissant bombon ferm. 115 grs. 40 unds.,1352,28505.0,0.785,Croissant Bombó,22376.425
2023-04-01,1121,Croissant manteca ferm.85 grs.40 unds,1319,17176.0,0.775,Croissant Llard,13311.4
2023-07-01,131,Croissant bombon ferm. 115 grs. 40 unds.,1301,28322.0,0.785,Croissant Bombó,22232.77
2023-10-01,101,Croissant manteca 85 grs. 100 unid.,1154,33579.0,0.782,Croissant Llard,26258.778000000002
2023-03-01,101,Croissant manteca 85 grs. 100 unid.,1115,32804.0,0.782,Croissant Llard,25652.728
2023-04-01,131,Croissant bombon ferm. 115 grs. 40 unds.,1090,23439.0,0.785,Croissant Bombó,18399.615
2023-09-01,101,Croissant manteca 85 grs. 100 unid.,1071,30443.0,0.782,Croissant Llard,23806.426
2023-06-01,101,Croissant manteca 85 grs. 100 unid.,1053,30129.0,0.782,Croissant Llard,23560.878
2023-12-01,101,Croissant manteca 85 grs. 100 unid.,1009,29301.0,0.782,Croissant Llard,22913.382
2023-01-01,101,Croissant manteca 85 grs. 100 unid.,992,27399.0,0.782,Croissant Llard,21426.018
2023-02-01,101,Croissant manteca 85 grs. 100 unid.,963,27549.0,0.782,Croissant Llard,21543.318
2023-11-01,101,Croissant manteca 85 grs. 100 unid.,959,28294.0,0.782,Croissant Llard,22125.908
2023-05-01,101,Croissant manteca 85 grs. 100 unid.,940,27748.0,0.782,Croissant Llard,21698.936
2023-07-01,101,Croissant manteca 85 grs. 100 unid.,925,26977.0,0.782,Croissant Llard,21096.014
2023-04-01,101,Croissant manteca 85 grs. 100 unid.,901,26384.0,0.782,Croissant Llard,20632.288
2023-03-01,330,"Buñuelos de viento 2,5 kgs",857,18610.0,0.894,Bunyols De Vent,16637.34
2023-08-01,101,Croissant manteca 85 grs. 100 unid.,790,23270.0,0.782,Croissant Llard,18197.14
2023-01-01,9,Artesanito  manteca 5 kgs.,742,18762.0,0.787,Artesanet De Llard 5 Kgs,14765.694000000001
