Fecha,Código cliente,Població entrega,Codi postal entrega,Importe_Euros,Cantidad_Unidades
2023-06-01,2117,Sant Quirze Del Valles,8192,74516.0,5337
2023-10-01,2117,Sant Quirze Del Valles,8192,70815.0,3761
2023-02-01,2117,Sant Quirze Del Valles,8192,70566.0,5744
2023-09-01,2117,Sant Quirze Del Valles,8192,64884.0,4836
2023-12-01,2117,Sant Quirze Del Valles,8192,63441.0,5150
2023-01-01,2117,Sant Quirze Del Valles,8192,60642.0,3519
2023-05-01,2117,Sant Quirze Del Valles,8192,57461.0,3147
2023-03-01,2117,Sant Quirze Del Valles,8192,53899.0,4022
2023-01-01,nan,Desconocido,S/N,53737.0,2001
2023-11-01,2117,Sant Quirze Del Valles,8192,43887.0,3342
2023-04-01,2117,Sant Quirze Del Valles,8192,41786.0,3661
2023-03-01,nan,Desconocido,S/N,41218.0,1368
2023-07-01,2117,Sant Quirze Del Valles,8192,39112.0,2038
2023-02-01,nan,Desconocido,S/N,36898.0,1293
2023-06-01,nan,Desconocido,S/N,32754.0,1045
2023-08-01,2117,Sant Quirze Del Valles,8192,32623.0,3129
2023-04-01,nan,Desconocido,S/N,31378.0,1097
2023-05-01,nan,Desconocido,S/N,29927.0,1056
2023-07-01,nan,Desconocido,S/N,22851.0,789
2023-11-01,3556,Barcelona,8021,20000.0,3
2023-08-01,nan,Desconocido,S/N,18298.0,693
2023-09-01,nan,Desconocido,S/N,17004.0,635
2023-10-01,nan,Desconocido,S/N,12329.0,549
2023-12-01,1531,Hostalric,17450,8934.0,204
2023-08-01,2085,Sant Fruitos De Bages,8272,8693.0,293
2023-11-01,nan,Desconocido,S/N,8429.0,363
2023-12-01,nan,Desconocido,S/N,7552.0,308
2023-03-01,1003,Girona,17001,7521.0,213
2023-09-01,1003,Girona,17001,7460.0,221
2023-05-01,3262,Granollers,8400,7448.0,174
2023-09-01,2085,Sant Fruitos De Bages,8272,7417.0,241
2023-12-01,3177,Sant Andreu De La Barca,8740,7392.0,195
2023-12-01,4091,Lleida,25001,7371.0,211
2023-06-01,1003,Girona,17001,7217.0,211
2023-12-01,1003,Girona,17001,7123.0,209
2023-12-01,3262,Granollers,8400,6977.0,157
2023-11-01,1003,Girona,17001,6849.0,196
2023-10-01,3262,Granollers,8400,6811.0,156
2023-11-01,3262,Granollers,8400,6686.0,152
2023-05-01,1003,Girona,17001,6670.0,193
2023-03-01,3177,Sant Andreu De La Barca,8740,6361.0,170
2023-08-01,4091,Lleida,25001,6299.0,181
2023-05-01,3177,Sant Andreu De La Barca,8740,6224.0,166
2023-03-01,3262,Granollers,8400,6156.0,141
2023-09-01,3262,Granollers,8400,6128.0,136
2023-04-01,3262,Granollers,8400,6108.0,140
2023-06-01,3262,Granollers,8400,6102.0,141
2023-11-01,3177,Sant Andreu De La Barca,8740,6045.0,163
2023-10-01,3177,Sant Andreu De La Barca,8740,5968.0,159
2023-01-01,3262,Granollers,8400,5892.0,139
2023-06-01,4091,Lleida,25001,5842.0,168
2023-10-01,2085,Sant Fruitos De Bages,8272,5838.0,223
2023-06-01,4677,Desconocido,S/N,5829.0,76
2023-11-01,1531,Hostalric,17450,5826.0,121
2023-01-01,3177,Sant Andreu De La Barca,8740,5801.0,163
2023-02-01,3177,Sant Andreu De La Barca,8740,5698.0,148
2023-03-01,2085,Sant Fruitos De Bages,8272,5694.0,218
2023-08-01,1003,Girona,17001,5684.0,155
2023-08-01,3467,Desconocido,S/N,5677.0,159
2023-04-01,3177,Sant Andreu De La Barca,8740,5649.0,151
2023-10-01,1003,Girona,17001,5636.0,155
2023-04-01,2127,Sant Sadurni D'Anoia,8770,5613.0,276
2023-08-01,3177,Sant Andreu De La Barca,8740,5600.0,151
2023-02-01,1003,Girona,17001,5586.0,153
2023-01-01,2309,Viladecans,8840,5527.0,162
2023-07-01,3177,Sant Andreu De La Barca,8740,5521.0,151
2023-05-01,2085,Sant Fruitos De Bages,8272,5361.0,200
2023-07-01,1003,Girona,17001,5359.0,152
2023-02-01,2410,Alcoletge,25660,5353.0,215
2023-06-01,3177,Sant Andreu De La Barca,8740,5328.0,145
2023-05-01,2276,La Garriga,8530,5272.0,142
2023-04-01,2085,Sant Fruitos De Bages,8272,5231.0,193
2023-02-01,2085,Sant Fruitos De Bages,8272,5202.0,178
2023-11-01,2085,Sant Fruitos De Bages,8272,5165.0,182
2023-04-01,1003,Girona,17001,5093.0,144
2023-07-01,3262,Granollers,8400,5077.0,120
2023-08-01,3262,Granollers,8400,5039.0,112
2023-08-01,2733,Alcover,43460,4993.0,179
2023-09-01,3177,Sant Andreu De La Barca,8740,4977.0,136
2023-03-01,2276,La Garriga,8530,4860.0,133
2023-07-01,3467,Desconocido,S/N,4833.0,136
2023-07-01,2085,Sant Fruitos De Bages,8272,4807.0,189
2023-01-01,1003,Girona,17001,4800.0,147
2023-01-01,2276,La Garriga,8530,4776.0,137
2023-01-01,2733,Alcover,43460,4763.0,181
2023-02-01,3262,Granollers,8400,4673.0,105
2023-10-01,2276,La Garriga,8530,4655.0,127
2023-01-01,2410,Alcoletge,25660,4617.0,201
