Código Artículo,Nombre Artículo,Coste Producción Unitario,Multiplicador,Ventas Totales Acumuladas,Venta Bruta Unitario,Descuento Porcentual,Venta Neta Unitario,Margen Bruto Unitario,Margen Total Contribuido (€),Dto_Euro_Unitario,Descuento Euros Unitario
131,Croissant Bombó,0.139,8.007194244604316,312551.0,1.113,0.42,0.64554,0.785,245251.39191994295,0.46746,0.467
101,Croissant Llard,0.0725,7.917241379310345,272308.0,0.574,0.42,0.33292,0.782,213007.4773519164,0.2410799999999999,0.241
120,Croissant Bombó,0.1349,7.331356560415123,211538.0,0.989,0.42,0.57362,0.765,161789.95042013878,0.4153799999999999,0.415
6,Artesanet De Xocolata Barra,0.0533,10.206378986866792,203820.0,0.544,0.42,0.31552,0.831,169389.20005070994,0.22848,0.228
30,Artesanet Bombó,0.035,12.314285714285711,197773.0,0.431,0.42,0.24998,0.86,170082.56476518122,0.18102,0.181
105,Croissant Bikini,0.1784,9.400224215246636,181743.0,1.677,0.42,0.97266,0.817,148408.68872987476,0.70434,0.704
1121,Croissant Llard,0.0825,7.648484848484848,160338.0,0.631,0.42,0.36598,0.775,124194.2626373026,0.26502,0.265
3,Artesanet De Llard 10 Kgs,0.0317,9.17981072555205,150282.0,0.291,0.42,0.1687799999999999,0.812,122056.26590828296,0.12222,0.122
9,Artesanet De Llard 5 Kgs,0.034,8.088235294117647,139864.0,0.275,0.42,0.1595,0.787,110049.73040752352,0.1154999999999999,0.115
330,Bunyols De Vent,0.0116,10.517241379310343,129038.0,0.122,0.1,0.1098,0.894,115405.57012750454,0.0122,0.012
113,Triangles,0.076,6.223684210526316,127045.0,0.473,0.42,0.27434,0.723,91849.91361084784,0.1986599999999999,0.199
1123,Croissant Bikini,0.181,9.939226519337016,120532.0,1.799,0.42,1.04342,0.827,99623.55277836345,0.7555799999999999,0.756
103,Croissant Xocolata (2 Barres),0.2231,4.93948901837741,116140.0,1.102,0.42,0.6391600000000001,0.651,75601.11458789662,0.46284,0.463
1141,Croissant Bombó Duo,0.1639,7.022574740695546,112657.0,1.151,0.42,0.6675800000000001,0.754,84998.16914826688,0.4834199999999999,0.483
300,Ensaïmada Normal,0.0926,8.293736501079914,106096.0,0.768,0.42,0.44544,0.792,84040.30316091955,0.32256,0.323
303,Ensaïmada Mini Normal,0.0656,5.228658536585366,84832.0,0.343,0.42,0.19894,0.67,56858.84628531215,0.14406,0.144
124,Croissant Bombó Duo,0.1617,6.938775510204082,68875.0,1.122,0.42,0.65076,0.752,51761.0294117647,0.4712400000000001,0.471
1010,Artesanet Bikini,0.0587,11.277683134582624,66271.0,0.662,0.42,0.38396,0.847,56139.45582873216,0.27804,0.278
1144,Croissant Xocolata Blanca,0.1385,7.63898916967509,63638.0,1.058,0.42,0.61364,0.774,49274.75281924255,0.4443600000000001,0.444
1122,Croissant Xocolata (2 Barres),0.3115,4.199036918138042,60879.0,1.308,0.42,0.7586400000000001,0.0,0.0,0.54936,0.549
7,Artesanet Crema,0.6087,0.6686380811565631,56482.0,0.407,0.42,0.23606,0.0,0.0,0.1709399999999999,0.171
402,Ferradura Xocolata,0.6835,1.4645208485735186,49015.0,1.001,0.42,0.5805799999999999,-0.177,-8688.938303076246,0.42042,0.42
410,Plaques De Full,5.3565,1.2166526649864653,46770.0,6.517,0.42,3.77986,-0.417,-19508.5142835978,2.73714,2.737
31,Artesanet Xocoblanc,0.0674,7.507418397626113,46484.0,0.506,0.42,0.29348,0.77,35808.58225432738,0.21252,0.213
1604,Tronquis Xocolata,0.2747,2.9013469239170004,42511.0,0.797,0.42,0.46226,0.406,17248.654783022546,0.33474,0.335
1134,Croissant Margarina,0.4049,1.5781674487527786,42058.0,0.639,0.42,0.37062,-0.092,-3890.0983217311514,0.26838,0.268
403,Ferradura Crema,0.6052,1.4920687376074029,39456.0,0.903,0.42,0.5237400000000001,0.0,0.0,0.3792599999999999,0.379
4,Artesanet De Margarina,0.0419,7.231503579952268,39080.0,0.303,0.42,0.17574,0.762,29762.531011721865,0.1272599999999999,0.127
1011,Artesanet Frankfurt,0.1544,3.4844559585492227,38571.0,0.538,0.42,0.31204,0.505,19485.74682732983,0.22596,0.226
36,Artesanet Bombó Reserva,0.0,0.0,38171.0,0.0,0.42,0.0,0.0,,0.0,0.0
138,Plaques De Croissant,1.2502,4.493681011038234,37460.0,5.618,0.42,3.25844,0.0,0.0,2.35956,2.36
404,Ferradura Cabell,0.6647,1.435233940123364,37089.0,0.954,0.42,0.55332,0.0,0.0,0.4006799999999999,0.401
1001,Mini Recte Margarina,0.0282,5.74468085106383,36326.0,0.162,0.42,0.09396,0.7,25423.56066411239,0.06804,0.068
161,Croissant Paris Fermentat (Recte),0.2376,4.718013468013468,35446.0,1.121,0.42,0.65018,0.0,0.0,0.47082,0.471
405,Pastís De Poma,3.171,0.4298328602964364,35272.0,1.363,0.42,0.79054,-3.011,-106210.41961191084,0.57246,0.572
35,Artesanet Xocoblanc Barra,0.0,0.0,33307.0,0.0,0.42,0.0,0.0,,0.0,0.0
331,Bunyols De Crema,0.043,4.2558139534883725,33193.0,0.183,0.1,0.1646999999999999,0.739,24526.94656952034,0.0183,0.018
1125,Croissant 100% Mantega,0.1649,6.464523953911463,30833.0,1.066,0.42,0.61828,0.733,22609.60331888465,0.44772,0.448
8,Mini Recte Llard,0.0263,6.159695817490494,27112.0,0.162,0.42,0.09396,0.72,19523.179225202213,0.06804,0.068
2027,Artesanet Mantega 100%,0.0396,14.72222222222222,26725.0,0.583,0.42,0.33814,0.883,23595.201691607024,0.2448599999999999,0.245
1802,Ensaimada Chocolate,10.0,0.08,26617.0,0.8,0.42,0.464,-20.552,-547025.2413793103,0.336,0.336
1802,Palmeres,0.1046,7.504780114722754,26617.0,0.785,0.42,0.4553,0.0,0.0,0.3297,0.33
17,Artesanet Salat Variat,0.0,0.0,25211.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0
1310,Ensaïmada Mini Xoco,0.1591,3.727215587680704,25011.0,0.593,0.42,0.34394,0.537,13441.394545560272,0.2490599999999999,0.249
106,Croissant Frankfurt,0.2288,5.192307692307692,24820.0,1.188,0.42,0.68904,0.668,16578.36526181354,0.4989599999999999,0.499
140,Croissant Mantega Fermentat,0.2794,4.194702934860415,24643.0,1.172,0.42,0.6797599999999999,0.589,14514.051253383546,0.49224,0.492
19,Artesanet Salat Variat,0.0,0.0,24373.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0
142,Croissant Llard,0.1587,4.08947700063012,24089.0,0.649,0.42,0.37642,0.578,13932.99261463259,0.27258,0.273
110,Croissant Margarina,0.1464,3.954918032786885,22341.0,0.579,0.42,0.33582,0.564,12601.489547972127,0.2431799999999999,0.243
1013,Artesanet Sobrassada,1.5677,0.2749250494354787,21789.0,0.431,0.42,0.24998,-5.271,-114856.3928314265,0.18102,0.181
401,Plaques De Full,4.0174,1.2323891073828843,21676.0,4.951,0.42,2.87158,-0.399,-8649.173737106406,2.07942,2.079
107,Croissant Sobrassada,0.2571,4.690781796966161,19953.0,1.206,0.42,0.69948,0.632,12619.100102933608,0.50652,0.507
1605,Tronquis Crema,0.6087,1.241991128634795,19251.0,0.756,0.42,0.43848,-0.388,-7473.328817733988,0.3175199999999999,0.318
22,Artesanet Micro Llard,0.0237,8.60759493670886,18259.0,0.204,0.42,0.11832,0.8,14601.644523326571,0.0856799999999999,0.086
25,Artesanet Micro Xocolata,0.0636,5.487421383647798,18134.0,0.349,0.42,0.20242,0.686,12436.32980930738,0.14658,0.147
1114,Triangles Margarina,0.1221,3.9230139230139223,18094.0,0.479,0.42,0.2778199999999999,0.561,10141.810092865884,0.20118,0.201
1021,Artesanet De Truita De Patates,0.1908,3.00314465408805,16368.0,0.573,0.42,0.3323399999999999,0.426,6970.953601733165,0.2406599999999999,0.241
515,Base Coca Briox,0.7105,8.689655172413794,16168.0,6.174,0.42,3.5809200000000003,0.0,0.0,2.59308,2.593
1309,Ensaïmada Mini Cabell,0.0,0.0,15464.0,0.0,0.42,0.0,0.0,,0.0,0.0
15,Artesanet Multicereals,0.0,0.0,15346.0,0.0,0.42,0.0,0.0,,0.0,0.0
1132,Montserratines,0.0,0.0,14816.0,0.0,0.42,0.0,0.0,,0.0,0.0
518,Coca De Full Llardons,3.4101,1.3964399870971524,14183.0,4.762,0.42,2.76196,-0.235,-3328.2776072064776,2.00004,2.0
137,Croissant Crema,0.436,2.4908256880733948,13951.0,1.086,0.42,0.62988,0.308,4294.1828284752655,0.4561200000000001,0.456
100,Croissant Llard,0.1104,4.6648550724637685,13880.0,0.515,0.42,0.2987,0.63,8749.929695346502,0.2163,0.216
517,Coca De Full Llardons,6.7628,1.266487253800201,13512.0,8.565,0.42,4.9677,-0.361,-4882.619964973733,3.5973,3.597
1016,Artesanet De Tonyina - Tomàquet,1.7205,0.2894507410636443,13434.0,0.498,0.42,0.28884,-4.957,-66586.76235978397,0.20916,0.209
521,Coca Full Xocolata,4.1111,2.828440076865072,12358.0,11.628,0.42,6.7442400000000005,0.39,4824.908977141976,4.88376,4.884
200,Napolitana Xocolata,0.7663,0.9604593501239724,12298.0,0.736,0.42,0.42688,-0.795,-9778.361975262367,0.30912,0.309
156,Croissant Xocolata Pur Puntes Tancades,0.0,0.0,11948.0,0.0,0.42,0.0,0.0,,0.0,0.0
210,Napolitana Xoco Plus,0.707,1.2291371994342293,11348.0,0.869,0.42,0.50402,0.0,0.0,0.3649799999999999,0.365
37,Artesanet Xocoblanc Reserva,0.0,0.0,10749.0,0.0,0.42,0.0,0.0,,0.0,0.0
118,Croissant Multicereals,0.1106,10.596745027124774,10408.0,1.172,0.42,0.6797599999999999,0.837,8714.571731199247,0.49224,0.492
38,Artesanet Mantega Xocolata Barra,0.0568,12.676056338028168,9996.0,0.72,0.42,0.4175999999999999,0.864,8636.3908045977,0.3024,0.302
522,Coca Full Crema,3.7814,2.268471994499392,9807.0,8.578,0.42,4.975239999999999,0.24,2353.2510753250085,3.60276,3.603
1014,Artesanet Bacó I Dàtil,0.2468,2.8565640194489466,9594.0,0.705,0.42,0.4089,0.0,0.0,0.2961,0.296
181,Croissant Frankfurt,0.0,0.0,8832.0,0.0,0.42,0.0,0.0,,0.0,0.0
516,Base Coca Briox,1.2197,8.26514716733623,8258.0,10.081,0.42,5.84698,0.791,6535.352992485011,4.234019999999999,4.234
1112,Triangles Llard 25 Gr,0.0,0.0,8213.0,0.0,0.42,0.0,0.0,,0.0,0.0
514,Coca Full Cabell,0.0,0.0,7984.0,0.0,0.42,0.0,0.0,,0.0,0.0
1018,Artesanet De Formatge,0.4439,1.1083577382293308,7871.0,0.492,0.42,0.28536,-0.556,-4372.961662461453,0.20664,0.207
322,Xuxos Mini Injectables,0.1178,2.2835314091680816,7785.0,0.269,0.1,0.2421,0.513,3997.0074349442375,0.0269,0.027
1308,Ensaïmada Mini Crema,0.1174,4.778534923339012,7348.0,0.561,0.42,0.32538,0.0,0.0,0.23562,0.236
308,Ensaïmada Mini,0.0964,3.9730290456431536,7075.0,0.383,0.42,0.22214,0.566,4004.728999729901,0.16086,0.161
23,Artesanet Micro Mantega,0.0,0.0,6595.0,0.0,0.42,0.0,0.0,,0.0,0.0
332,Bunyols Bombó,0.0869,2.7042577675489063,6553.0,0.235,0.1,0.2115,0.589,3860.5380614657206,0.0234999999999999,0.023
1501,Mini Xics Xocolata,0.1533,1.2263535551206786,6379.0,0.188,0.42,0.10904,-0.406,-2589.274944974321,0.07896,0.079
604,Coca De Full Llardons,0.2424,5.156765676567657,6246.0,1.25,0.42,0.725,0.666,4157.682206896552,0.525,0.525
700,Briox Rodó,0.1229,5.085435313262815,6170.0,0.625,0.42,0.3625,0.661,4078.15724137931,0.2625,0.262
307,Ensaïmada Gran,0.3183,2.7929626138862704,5840.0,0.889,0.42,0.51562,0.383,2234.879950351033,0.37338,0.373
333,Bunyols De Crema Avellana,0.0918,2.821350762527233,5472.0,0.259,0.1,0.2331,0.606,3317.0038610038605,0.0259,0.026
1314,Ensaïmada Maxi Cabell,0.0,0.0,5053.0,0.0,0.42,0.0,0.0,,0.0,0.0
314,Ensaïmada Normal Cabell,0.0,0.0,4691.0,0.0,0.42,0.0,0.0,,0.0,0.0
202,Napolitana Bikini Tall,0.8025,1.88785046728972,4413.0,1.515,0.42,0.8786999999999999,0.087,382.69102082622027,0.6363,0.636
325,Xuxos Mini Doble Crema (Injectats),0.0943,3.8812301166489926,4320.0,0.366,0.1,0.3293999999999999,0.714,3083.27868852459,0.0366,0.037
114,Coques Montseny,0.1972,4.391480730223124,4071.0,0.866,0.42,0.5022800000000001,0.607,2472.685912240185,0.3637199999999999,0.364
104,Croissant Crema,0.4188,2.1967526265520534,4068.0,0.92,0.42,0.5336000000000001,0.215,875.1994002998505,0.3863999999999999,0.386
108,Croissant Tonyina - Tomàquet,0.266,4.593984962406014,3972.0,1.222,0.42,0.7087600000000001,0.625,2481.2951069473447,0.5132399999999999,0.513
208,Napolitana Xocolata Plus,0.7023,1.1519293749110069,3445.0,0.809,0.42,0.46922,-0.497,-1711.2667831720728,0.33978,0.34
502,Mini Xics Salat Variat,0.0,0.0,3374.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0
313,Ensaïmada Normal Xocolata,0.1669,7.93289394847214,3081.0,1.324,0.42,0.76792,0.783,2411.3743879570798,0.55608,0.556
201,Napolitana Crema,0.638,1.092476489028213,2918.0,0.697,0.42,0.40426,-0.578,-1687.164992826399,0.2927399999999999,0.293
211,Napolitana De Crema  Plus,0.5739,1.4340477435093222,2827.0,0.823,0.42,0.47734,-0.202,-571.8672644236811,0.3456599999999999,0.346
324,Xuxos Doble Crema (Injectat),0.2257,3.6907399202481166,2646.0,0.833,0.1,0.7496999999999999,0.0,0.0,0.0833,0.083
139,Empanadilla Tonyina I Tomàquet,0.0863,15.89803012746234,2543.0,1.372,0.42,0.7957600000000001,0.892,2267.212199658188,0.57624,0.576
1508,Mini Xics Tonyina Amb Tomàquet,0.1512,1.2896825396825398,2414.0,0.195,0.42,0.1131,-0.337,-813.2042440318301,0.0819,0.082
1315,Ensaïmada Maxi,1.3259,3.14352515272645,2297.0,4.168,0.42,2.41744,0.452,1037.1580597657023,1.75056,1.751
1509,Mini Xics Sobrassada,0.1521,1.2294543063773833,2234.0,0.187,0.42,0.10846,0.0,0.0,0.07854,0.079
1316,Ensaïmada Maxi Xocolata,1.7446,3.0218961366502355,1780.0,5.272,0.42,3.05776,0.429,764.4238919993721,2.21424,2.214
1500,Mini Xics Crema,0.4039,0.428323842535281,1352.0,0.173,0.42,0.10034,0.0,0.0,0.0726599999999999,0.073
334,Bunyols De Crema Lotus,0.0,0.0,1307.0,0.311,0.1,0.2799,1.0,1307.0,0.0311,0.031
150,Croissant Llard,0.0,0.0,1280.0,0.0,0.42,0.0,0.0,,0.0,0.0
315,Ensaïmada Normal Crema,0.1371,7.330415754923413,1176.0,1.005,0.42,0.5829,0.0,0.0,0.4220999999999999,0.422
1507,Mini Xics Formatge,0.145,1.3517241379310343,671.0,0.196,0.42,0.11368,0.0,0.0,0.08232,0.082
1313,Ensaïmada Maxi Crema,1.5297,2.350134013205204,661.0,3.595,0.42,2.0851,0.266,176.06800633063165,1.5099,1.51
1504,Mini Xics Bikini,0.1455,1.3470790378006874,643.0,0.196,0.42,0.11368,-0.28,-179.9811752287121,0.08232,0.082
1505,Mini Xics Salmó,0.1477,1.2796208530805688,553.0,0.189,0.42,0.10962,-0.347,-192.10217113665385,0.0793799999999999,0.079
323,Xuxos Injectable,0.2659,1.978187288454306,408.0,0.526,0.1,0.4734,0.438,178.8339670468948,0.0525999999999999,0.053
523,Coca Full Cabell I Crema,0.0,0.0,382.0,0.0,0.42,0.0,0.0,,0.0,0.0
1494,Mini Xics Bacó,0.1578,1.2357414448669202,271.0,0.195,0.42,0.1131,-0.395,-107.10610079575594,0.0819,0.082
1133,Croissant Recte Margarina Ferm.,0.0,0.0,0.0,0.0,0.42,0.0,0.0,,0.0,0.0
